Scenario,Profit,In_Out
1,212262.53077857022,In
2,91609.84386985324,In
3,340792.77927668224,In
4,468330.99416999135,In
5,57040.30499542729,In
6,235656.04491171904,In
7,3983.4492985189745,In
8,130602.51687947391,In
9,102731.12663995774,In
10,31979.44500599037,In
11,49168.966292682024,In
12,60657.22141748673,In
13,44789.64683991827,In
14,231812.19757560754,In
15,139444.24100920887,In
16,382013.1868941163,In
17,122615.94723782624,In
18,46818.64308749207,In
19,170521.94536863314,In
20,133296.47652062864,In
21,41144.78005825354,In
22,37889.7740885663,In
23,127323.97086500365,In
24,205739.90475765898,In
25,81181.16235592269,In
26,178074.0603052335,In
27,293539.1195877233,In
28,105978.41546021184,In
29,188945.69733168802,In
30,97470.19032335002,In
31,273801.32762057945,In
32,611859.1238275326,In
33,97305.83034871206,In
34,230691.155499573,In
35,286868.7297005926,In
36,220557.1051116984,In
37,90589.00974874309,In
38,10885.323642194653,In
39,375358.90852215735,In
40,106988.42679399218,In
41,90589.00974874309,In
42,108980.1214459725,In
43,31048.508652949844,In
44,54807.586991658,In
45,173711.22368688657,In
46,225238.69807879283,In
47,163318.5712673809,In
48,73738.23115205977,In
49,266707.097884887,In
50,140961.23072693197,In
51,153331.8297463897,In
52,68873.11747871665,In
53,284300.71112499887,In
54,36087.984187242444,In
55,47229.3941636861,In
56,162810.02552348794,In
57,129415.76147872917,In
58,99807.56501274345,In
59,142926.95212967118,In
60,143567.26131784148,In
61,88101.33496153599,In
62,151531.78458634045,In
63,95547.90381962745,In
64,126212.1816655774,In
65,205497.60889198535,In
66,45521.34534273909,In
67,119725.08012684065,In
68,113779.38748011073,In
69,358398.5925872694,In
70,7187.12575152736,In
71,375358.90852215735,In
72,144910.59541614572,In
73,203169.52919868528,In
74,52645.76758450101,In
75,18788.641072868948,In
76,373622.48678066675,In
77,79370.00578380331,In
78,14098.446795950109,In
79,173218.89710011584,In
80,142830.76482864618,In
81,6142.051766378984,In
82,291798.8010872654,In
83,234779.08118326447,In
84,188483.711033799,In
85,459657.67903144285,In
86,218448.98349307754,In
87,77936.92349521212,In
88,133296.47652062864,In
89,218448.98349307754,In
90,146778.0091116809,In
91,120727.36076449518,In
92,165725.17481687467,In
93,81761.9964260708,In
94,332983.4813797474,In
95,105720.5907681554,In
96,191643.98311669964,In
97,29856.120986478745,In
98,66126.18400338554,In
99,280696.71807359887,In
100,29023.246281989075,In
101,149143.2052722035,In
102,460483.7682638284,In
103,81812.57428934467,In
104,160138.45455960126,In
105,67893.53496835807,In
106,29023.24628198907,In
107,55419.236716947766,In
108,29023.24628198907,In
109,213236.9720153262,In
110,33330.01698330163,In
111,73809.72214888,In
112,55419.236716947766,In
113,71499.96296989878,In
114,77936.92349521212,In
115,28811.94250314251,In
116,64557.57454442605,In
117,318551.2928713388,In
118,63024.04979575249,In
119,324062.4443322673,In
120,16032.641945049083,In
121,12432.124049513011,In
122,176274.75411883116,In
123,269852.4277549208,In
124,43571.14368985828,In
125,20325.072684923678,In
126,293539.1195877233,In
127,85054.08835402581,In
128,144910.59541614572,In
129,21633.539814669766,In
130,19104.695677625412,In
131,144092.38793290555,In
132,140961.23072693197,In
133,198263.52085885688,In
134,112830.11416768073,In
135,226095.55437682156,In
136,220557.1051116984,In
137,46372.52458857322,In
138,148573.09839334505,In
139,214789.26290801002,In
140,382013.1868941163,In
141,204976.3346887876,In
142,275852.2817151295,In
143,299433.037447955,In
144,60676.53282465191,In
145,62900.421011592276,In
146,95547.90381962745,In
147,218591.26051682545,In
148,18171.51491180796,In
149,82156.44439945306,In
150,21609.203333691272,In
151,234316.7302884183,In
152,213236.9720153262,In
153,122735.90973568597,In
154,25029.680373900304,In
155,129168.96978710375,In
156,131744.34832963144,In
157,79598.2787574262,In
158,149175.83119944733,In
159,61278.45877148094,In
160,77240.70005064612,In
161,221536.5382384856,In
162,177522.48959150218,In
163,178074.0603052335,In
164,39353.465379497065,In
165,88101.33496153599,In
166,391681.601081065,In
167,520070.74333813315,In
168,114218.14625864248,In
169,295455.3032025595,In
170,59085.25511509474,In
171,227559.4830016193,In
172,63952.45866938748,In
173,298872.6405285199,In
174,181310.1626745826,In
175,141274.3878058448,In
176,122591.97804116986,In
177,74733.88034992202,In
178,84961.97909533813,In
179,11201.82558225125,In
180,213869.04496058225,In
181,138066.85812281072,In
182,210906.62026791566,In
183,430018.1617838767,In
184,5730.1144092951145,In
185,169456.60246297068,In
186,81543.58026946774,In
187,34989.25685788407,In
188,173500.03353544863,In
189,173218.89710011584,In
190,107121.5526274854,In
191,302106.6200922924,In
192,44293.87152870961,In
193,14994.51845726331,In
194,71499.96296989878,In
195,41343.019935916855,In
196,214789.26290801002,In
197,75920.93388605912,In
198,161381.1902354051,In
199,182104.9374198503,In
200,162607.51574228195,In
201,62642.75391489407,In
202,6232.76649054339,In
203,28811.94250314251,In
